theater,title,date,time,link,poster,info
Coolidge,Aliens,04-21,11:59 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=784120~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/Aliens%20new%20site.jpg?h=4c98af5a&itok=Yi4W8j4z,James Cameron
Coolidge,The Relic,04-22,11:59 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=784124~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/The_Relic_1997_1%20copy.jpg?h=1c2b878e&itok=9mKCLgrz,Peter Hyams
Coolidge,"Seminar: Eve’s Bayou



Part of Seminar: Eve's Bayou",04-24,6:15 PM,https://store.coolidge.org/websales/pages/entrypoint.aspx?guid=737f08d6-4bf9-443a-8e56-d9edc9bf9f2c&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/eves%20bayou%20seminar%20event.jpg?h=9db3ef80&itok=O-nWHc22,Kasi Lemmons
Coolidge,"Eve’s Bayou (Director’s Cut)



Part of Seminar: Eve's Bayou",04-24,7:00 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=770601~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/Eve%27s%20Bayou%201%20website.jpg?h=16cf3c86&itok=OARzIn9f,Kasi Lemmons
Coolidge,Perfect Blue,04-25,7:00 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=784029~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/PerfectBlue_12.jpg?h=e522c99e&itok=n9akHVUF,Satoshi Kon
Coolidge,Perfect Blue,04-25,9:45 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=785922~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/PerfectBlue_12.jpg?h=e522c99e&itok=n9akHVUF,Satoshi Kon
Coolidge,Belle,04-26,7:00 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=784028~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/BELLE_Image01%20copy.jpg?h=2692ccb8&itok=9bVkjwQX,Mamoru Hosoda
Coolidge,Othello,04-27,7:00 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=747325~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/NTL%202023%20Othello%20Production%20Photography%2018%20%28Credit%20-%20Myah%20Jeffers%29.jpg?h=8b56687b&itok=gjAqCBT4,Clint Dyer
Coolidge,Pumpkinhead,04-28,11:59 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=784122~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/Pumpkinhead_1988_4%20copy.jpg?h=cff19514&itok=Jy8mXEFy,Stan Winston
Coolidge,A Gnome Named Gnorm,04-29,11:59 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=784125~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/gnorm%20copy.jpg?h=869ec81f&itok=mMjYzp6q,Stan Winston
Coolidge,Mamma Mia!,05-11,7:00 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=781433~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/MammaMia2008_31%20copy.jpg?h=53d96156&itok=MR-PyhVZ,Phyllida Lloyd
Coolidge,Best of Enemies,05-18,7:00 PM,https://store.coolidge.org/websales/pages/ticketsearchcriteria.aspx?evtinfo=774944~2227d6a5-68f5-41c2-b22e-813c872c64f4&amp;,https://www.coolidge.org/sites/default/files/styles/base/public/featured_images/NTL%202023%20Best%20of%20Enemies%20-%20Production%20Photography%20%28Credit%20Johan%20Persson%29%2011.jpg?h=135fcf7a&itok=zHQLlgUB,Jeremy Herrin
