theater,title,date,time,link,poster
Brattle,Buster Keaton’s Cops (and More),09-29,8:00 PM,https://brattlefilm.org/movies/buster-keatons-cops-and-more/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29171822/uN8b6oQlmsb81G7GepgjPyRDLaO.jpg
Brattle,My Imaginary Country,09-30,5:00 PM,https://brattlefilm.org/movies/my-imaginary-country/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29172259/lMduFPHGOMORvrM0DTPCPfRhhRd.jpg
Brattle,My Imaginary Country,10-01,7:00 PM,https://brattlefilm.org/movies/my-imaginary-country/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29172259/lMduFPHGOMORvrM0DTPCPfRhhRd.jpg
Brattle,Nosferatu,09-30,9:00 PM,https://brattlefilm.org/movies/nosferatu/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29171948/eGUBhumQqHQqciJZJnpzEYA8LWT.jpg
Brattle,The Battle of Chile: Part I,10-01,12:00 PM,https://brattlefilm.org/movies/the-battle-of-chile-part-i/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29172457/6rJnhieQrm5HRt5AGgqxxXrnPKB.jpg
Brattle,The Battle of Chile: Part II,10-01,2:00 PM,https://brattlefilm.org/movies/the-battle-of-chile-part-ii/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29172756/566lwvXAEGoRp7QGspqH8ByBTrF.jpg
Brattle,The Battle of Chile: Part II,10-01,4:00 PM,https://brattlefilm.org/movies/the-battle-of-chile-part-ii/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/29172756/566lwvXAEGoRp7QGspqH8ByBTrF.jpg
Brattle,Thirst,10-01,9:15 PM,https://brattlefilm.org/movies/thirst/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31132413/sFgvkGpXLTydvHqBCXw54OB8R0h.jpg
Brattle,Only Lovers Left Alive,10-03,9:15 PM,https://brattlefilm.org/movies/only-lovers-left-alive/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2021/12/20123958/kffoWJ7FfPRlFFBGixOMbq3blQp-scaled.jpg
Brattle,Let the Right One In,10-04,9:15 PM,https://brattlefilm.org/movies/let-the-right-one-in/,https://s3.amazonaws.com/nightjarprod/content/uploads/sites/192/2022/08/31132850/4hezTKTuZMp0l2ufihKwPgLmfLg.jpg
