title,poster,year,cast,score,cert,rt_link,exact_match,query_str,listing_title
Poison Ivy,https://resizing.flixster.com/RXWGOVtAl51mxtLAF_7fLEBAonE=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p13747_v_v13_ad.jpg,1992,"Drew Barrymore,Tom Skerritt,Sara Gilbert",41,rotten,https://www.rottentomatoes.com/m/1039642-poison_ivy,True,Poison Ivy | Katt Shea,Poison Ivy
Your Name,https://resizing.flixster.com/c3GMlax7qA7603eMBt61X6cminU=/fit-in/80x126/v2/https://resizing.flixster.com/XHvcBxuKMfWLooKZHqPrCusyz9Q=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2EyZDU1MDQyLWQ0MTMtNGJmOC04Y2QxLTE3ODFhYmJiMGM0Ny53ZWJw,2016,"Michael Sinterniklaas,Stephanie Sheh,Laura Post",98,certified-fresh,https://www.rottentomatoes.com/m/your_name_2017,False,Suzume (English Subtitles) | Makoto Shinkai,Suzume (English Subtitles)
Air,https://resizing.flixster.com/VKVnaaXGnVsRKwXyuUg07HyJO4s=/fit-in/80x126/v2/https://resizing.flixster.com/YCmO8jyzF8PEJ5djT_x4TiRAw7Y=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg0MjcwZGUyLTE4NzctNDgyMi05ZmI0LWM4OWJkZjgxMDMyMi5qcGc=,2023,"Matt Damon,Ben Affleck,Jason Bateman",92,certified-fresh,https://www.rottentomatoes.com/m/air_2023,True,Air | Ben Affleck,Air
Polite Society,https://resizing.flixster.com/oPfvTYztPPSEdF7iRkZHm6X0-Rc=/fit-in/80x126/v2/https://resizing.flixster.com/SxovO0EXGdkFe2vY87_rGuTRnfw=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y4MTI0ODc3LTM1YTUtNGM3My1iYTJlLWRjZTVlMTY2NjI3Mi5qcGc=,2023,"Priya Kansara,Ritu Arya,Shobu Kapoor",91,certified-fresh,https://www.rottentomatoes.com/m/polite_society,True,Polite Society | Nida Manzoor,Polite Society
"Are You There God? It's Me, Margaret.",https://resizing.flixster.com/mAZWrmlOEY3yzQAq-KhSgeuBTKk=/fit-in/80x126/v2/https://resizing.flixster.com/iOBz-fQyXc6eRWGuSH5d42dsHT0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA4YzRmNjcwLTUxOWUtNDJkZi05NmYyLTVjN2MyNDdjNzdiNy5qcGc=,2023,"Rachel McAdams,Abby Ryder Fortson,Elle Graham",99,certified-fresh,https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,False,"Are You There God? It’s Me, Margaret. | Kelly Fremon Craig","Are You There God? It’s Me, Margaret."
Air,https://resizing.flixster.com/VKVnaaXGnVsRKwXyuUg07HyJO4s=/fit-in/80x126/v2/https://resizing.flixster.com/YCmO8jyzF8PEJ5djT_x4TiRAw7Y=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg0MjcwZGUyLTE4NzctNDgyMi05ZmI0LWM4OWJkZjgxMDMyMi5qcGc=,2023,"Matt Damon,Ben Affleck,Jason Bateman",92,certified-fresh,https://www.rottentomatoes.com/m/air_2023,True,Air |,Air
Showing Up,https://resizing.flixster.com/V-TJNgCYeoJcwPaKiaMhQOkEKKE=/fit-in/80x126/v2/https://resizing.flixster.com/x8npkormdOR9N-x5Q-QIeQwTNNI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzFlODg4NDNhLTBmYjgtNGZlNy04OGM0LTU0MDBjN2EyZjhiNS5qcGc=,2022,"Michelle Williams,Hong Chau,Maryann Plunkett",88,certified-fresh,https://www.rottentomatoes.com/m/showing_up_2022,True,Showing Up |,Showing Up
Godland,https://resizing.flixster.com/ifEQqSc_mhd8-TzmrfSc9IIdMz4=/fit-in/80x126/v2/https://resizing.flixster.com/ResySw83OOtDWLoYfMzYMpDygxg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQyZGRjM2FhLTU0NjktNGE2Yi05MzhjLWQ5M2MxM2UyYTE5MC5qcGc=,2022,"Elliott Crosset Hove,Ingvar Eggert Sigurðsson,Victoria Carmen Sonne",90,certified-fresh,https://www.rottentomatoes.com/m/godland,True,Godland |,Godland
Personality Crisis: One Night Only,https://resizing.flixster.com/VrBJplpI_YQP3__5yPhEl43oBLs=/fit-in/80x126/v2/https://resizing.flixster.com/Z2dcw7yLyR68JxffviTUYvE2T1k=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RkMGE4YThmLWFmMDItNDJlNC1iYWJmLTQwZWYyZjAxMTAxNy5qcGc=,2022,David Johansen,100,fresh,https://www.rottentomatoes.com/m/personality_crisis_one_night_only,False,Raging Bull (4K Restoration) | Martin Scorsese,Raging Bull (4K Restoration)
Beau Is Afraid,https://resizing.flixster.com/xxVLdhvydkoQVdYTMV604d0loNI=/fit-in/80x126/v2/https://resizing.flixster.com/QdFUG32U5gyx2uVinx5asNZTgyQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzczMjQ1ZWQ3LTZhOGMtNDIyYi05NGU5LTk3ZGYyMTYzN2IxNS5qcGc=,2023,"Joaquin Phoenix,Nathan Lane,Amy Ryan",70,fresh,https://www.rottentomatoes.com/m/beau_is_afraid,True,Beau Is Afraid |,Beau Is Afraid
Sick of Myself,https://resizing.flixster.com/-8XCfGVNmkuqND-EXwAV3aZshpw=/fit-in/80x126/v2/https://resizing.flixster.com/_UEL0__Ca40h9LVk8etfOXgc7MQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ0ZjVhNzAwLTYyMjYtNDIzNi05NWI1LTFkYTcyNzNiMWNlZC5qcGc=,2022,"Kristine Kujath Thorp,Eirik Sæther,Fanny Vaager",87,certified-fresh,https://www.rottentomatoes.com/m/sick_of_myself,True,Sick of Myself |,Sick of Myself
Jim: The James Foley Story,https://resizing.flixster.com/4SgCCgqBWigmx6tVbCB7UTxps8k=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p12492568_p_v8_aj.jpg,2016,"Eli Revivo,Brian Oakes,Carlos Javier Ortiz",91,fresh,https://www.rottentomatoes.com/m/jim_the_james_foley_story,False,Fear (1996) | James Foley,Fear (1996)
Dungeons & Dragons: Honor Among Thieves,https://resizing.flixster.com/mh8DqEbW1vDZIn0vBKTG8d2zPFs=/fit-in/80x126/v2/https://resizing.flixster.com/eWLvyboOEGZRS2JiBDZ6eRD4Hps=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU2MTc5YzE5LTc3YjktNDIyMS05ZWZhLTNlNzBjZmZkM2JlMS5qcGc=,2023,"Chris Pine,Michelle Rodriguez,Regé-Jean Page",90,certified-fresh,https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,False,Dungeons & Dragons Honor |,Dungeons & Dragons Honor
The Brainiac,https://resizing.flixster.com/nbGQoniqwqZ_NTds57WdO7uCFCU=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p45338_p_v8_ad.jpg,1961,"Abel Salazar,Germán Robles,Ariadna Welter",,,https://www.rottentomatoes.com/m/brainiac,False,The Brainiac |,The Brainiac
The 5 Browns,https://resizing.flixster.com/ANwCEVswbCtEuSKWztQHJkrwXrA=/fit-in/80x126/v2/https://resizing.flixster.com/Jt-tZXCQf-usyJQLCh79N3Bpyug=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzIyMDcyMWQ3LWEzZDctNDg2OC1iZDhlLTExZTdkN2EyMWVhZS53ZWJw,2018,"Priscilla Alarcon,Deondra Brown,Ryan Brown",100,fresh,https://www.rottentomatoes.com/m/the_5_browns_digging_through_the_darkness,False,The Robot v the Aztec Mum |,The Robot v the Aztec Mum
"Steamboat Bill, Jr.",https://resizing.flixster.com/bZgAlAUymtoTBkM2BsGuMonIBo0=/fit-in/80x126/v2/https://resizing.flixster.com/7VQQf3yvc8OABoXKA-yPCmPYInM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2YzNGU0ZWY2LTU1YzUtNDNhZi1hYmIwLTdkZDUzMDhkOTc3OC5qcGc=,1928,"Buster Keaton,Ernest Torrence,Marion Byron",96,certified-fresh,https://www.rottentomatoes.com/m/steamboat_bill_jr,False,Silents: Steamboat Bill |,Silents: Steamboat Bill
The General Line,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,1929,"Marfa Lapkina,Vasili Buzenkov,Chukamaryev",100,fresh,https://www.rottentomatoes.com/m/old_and_new,False,Silents: The General |,Silents: The General
The Light Ahead,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,1939,"David Opatoshu,Helen Beverly,Isidore Cashier",,,https://www.rottentomatoes.com/m/the_light_ahead,False,The Light Ahead | Edgar G. Ulmer,The Light Ahead
March '68,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,2022,"Vanessa Aleksander,Ignacy Liss,Ireneusz Czop",,,https://www.rottentomatoes.com/m/march_68,False,March ’68 | Krzysztof Lang,March ’68
The Levys of Monticello,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,2021,,,,https://www.rottentomatoes.com/m/the_levys_of_monticello,False,The Levys of Monticello | Steve Pressman,The Levys of Monticello
Cooley High,https://resizing.flixster.com/T1zZfH2H2DinE3PllZSRDb6Uvxo=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p386_p_v8_aa.jpg,1975,"Glynn Turman,Lawrence-Hilton Jacobs,Garrett Morris",89,fresh,https://www.rottentomatoes.com/m/cooley_high,True,Cooley High | Michael Schultz,Cooley High
An Open Secret,https://resizing.flixster.com/Q6iDN63nep_2lGLo8LFtW8ldAQw=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p11744709_p_v8_aa.jpg,2014,"Evan Henzi,Michael Egan III,Mark Ryan",88,fresh,https://www.rottentomatoes.com/m/an_open_secret,False,Open Secret (1948) | John Reinhardt,Open Secret (1948)
The Trial of the Chicago 7,https://resizing.flixster.com/zbZKB7Kk3qft-MnaAcJ6rfd-j34=/fit-in/80x126/v2/https://resizing.flixster.com/J4_g29z9mN7GdcC1tT340TA6dYg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2UyMGRlYzliLWJjYTQtNDYyNC04NmI2LTY1ODYyMTA2YWZlYi53ZWJw,2020,"Eddie Redmayne,Alex Sharp,Sacha Baron Cohen",89,certified-fresh,https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7,False,The Trial of Adolf Eichmann | Michaël Prazan,The Trial of Adolf Eichmann
June Zero,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,2022,"Noam Ovadia,Tzahi Grad,Yoav Levi",60,fresh,https://www.rottentomatoes.com/m/june_zero,True,June Zero | Jake Paltrow,June Zero
Boston Strangler,https://resizing.flixster.com/xnJ1zySlYy9z6DEuJrp63OVkTJk=/fit-in/80x126/v2/https://resizing.flixster.com/Yl25RfNZLUFRCsVJhnPR3I4gUZU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU2NGNkYWIwLWE2NWMtNDUwYy1iY2NhLTcyYTRjZmU4MGZkMy5qcGc=,2023,"Keira Knightley,Carrie Coon,Alessandro Nivola",68,fresh,https://www.rottentomatoes.com/m/boston_strangler_2023,False,Boston Open Screen |,Boston Open Screen
Imaginary Witness: Hollywood and the Holocaust,https://images.fandango.com/cms/assets/5d84d010-59b1-11ea-b175-791e911be53d--rt-poster-defaultgif.gif,2004,"Gene Hackman,Sidney Lumet,Steven Spielberg",88,fresh,https://www.rottentomatoes.com/m/imaginary_witness,False,Hollywood and WWII | Jascha Hannover,Hollywood and WWII
Odds Against Tomorrow,https://resizing.flixster.com/6OKo6WwYAwIiCqv4PFlAcjPMIFQ=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p5830_p_v8_aa.jpg,1959,"Harry Belafonte,Robert Ryan,Shelley Winters",86,fresh,https://www.rottentomatoes.com/m/odds_against_tomorrow,True,Odds Against Tomorrow |,Odds Against Tomorrow
Down by Law,https://resizing.flixster.com/TNhetYUsjUnMfxjtwz1Eo1Zm-Ho=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p9286_p_v8_aa.jpg,1986,"Tom Waits,John Lurie,Roberto Benigni",87,fresh,https://www.rottentomatoes.com/m/down_by_law,True,Down by Law | Jim Jarmusch,Down by Law
Walter,https://resizing.flixster.com/zJ79LRfFFv2ECePkzA6AYngtlU8=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p10273484_p_v8_aa.jpg,2015,"Neve Campbell,Milo Ventimiglia,Peter Facinelli",54,rotten,https://www.rottentomatoes.com/m/walter_2015,False,Shttl | Ady Walter,Shttl
Kansas City,https://resizing.flixster.com/0wmUkGp5mM9WbQOKzVv6S_XmN6o=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p18027_p_v8_aa.jpg,1996,"Jennifer Jason Leigh,Miranda Richardson,Harry Belafonte",59,rotten,https://www.rottentomatoes.com/m/kansas_city,True,Kansas City |,Kansas City
The Book Keepers,https://resizing.flixster.com/8X_RDhgZVMaDF6eFpFk5LU8MDpI=/fit-in/80x126/v2/https://resizing.flixster.com/IE-9boZw5ZdN9cymbQAsRl8k_gA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ1YjI5MDRhLTEzZmYtNDJkMy05NTVlLWZkMTE5ZWQzNWI4Zi5qcGc=,2022,,100,fresh,https://www.rottentomatoes.com/m/the_book_keepers,False,Harvard Book Store presents Alexandra Petri |,Harvard Book Store presents Alexandra Petri
Mamma Mia!,https://resizing.flixster.com/KCiHYuv9Z3D-ZNPkEepCQf-Vro4=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/65189/65189_aa.jpg,2008,"Meryl Streep,Pierce Brosnan,Colin Firth",55,rotten,https://www.rottentomatoes.com/m/mamma_mia,True,Mamma Mia! | Phyllida Lloyd,Mamma Mia!
Goodfellas,https://resizing.flixster.com/jLPFbMJJ2PjcnxwwalgoAIPIXbc=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p12720_v_v13_bc.jpg,1990,"Robert De Niro,Ray Liotta,Joe Pesci",96,certified-fresh,https://www.rottentomatoes.com/m/1032176-goodfellas,True,Goodfellas |,Goodfellas
Carmen Jones,https://resizing.flixster.com/vpn6JBaBSR7u-OYIKx_rJafbWMU=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p3425_p_v8_aa.jpg,1954,"Dorothy Dandridge,Harry Belafonte,Pearl Bailey",78,fresh,https://www.rottentomatoes.com/m/carmen_jones,True,Carmen Jones |,Carmen Jones
After Hours,https://resizing.flixster.com/0twtKVeATZbVhEwoJDXFqxSi3Vc=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p8736_p_v8_ab.jpg,1985,"Griffin Dunne,Rosanna Arquette,Teri Garr",91,certified-fresh,https://www.rottentomatoes.com/m/1032180-after_hours,True,After Hours |,After Hours
Body Double,https://resizing.flixster.com/x6D_j4A6rwP2jnxJtMN0he-n96U=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p8541_p_v8_ag.jpg,1984,"Craig Wasson,Melanie Griffith,Gregg Henry",78,fresh,https://www.rottentomatoes.com/m/body_double,True,Body Double | Brian De Palma,Body Double
Pretty in Pink,https://resizing.flixster.com/BbUpn1WtEqCbLP2J_0GqOASHZ-A=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/41880/41880_aa.jpg,1986,"Molly Ringwald,Jon Cryer,Andrew McCarthy",74,certified-fresh,https://www.rottentomatoes.com/m/pretty_in_pink,False,Harvard Book Store presents Andrew McCarthy |,Harvard Book Store presents Andrew McCarthy
Key Largo,https://resizing.flixster.com/JClTDZnEkwy-myCBxFcS3auFVdk=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p11086_p_v8_aa.jpg,1948,"Humphrey Bogart,Edward G. Robinson,Lauren Bacall",97,fresh,https://www.rottentomatoes.com/m/key_largo,True,Key Largo |,Key Largo
Bottle Rocket,https://resizing.flixster.com/l2ABc-3BOKALVEiI0_6B5XYIW5Q=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p17652_p_v8_ay.jpg,1996,"Owen C. Wilson,Luke Wilson,Robert Musgrave",85,certified-fresh,https://www.rottentomatoes.com/m/bottle_rocket,True,Bottle Rocket |,Bottle Rocket
The African Queen,https://resizing.flixster.com/IuGpFDHN9LSYgsE5f8pXYVZ9Rb8=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/8846/8846_ba.jpg,1951,"Humphrey Bogart,Katharine Hepburn,Robert Morley",96,certified-fresh,https://www.rottentomatoes.com/m/the_african_queen_1951,True,The African Queen |,The African Queen
Better Off Dead,https://resizing.flixster.com/mAQuYh1T9UFvQrWT3bz_Sg7vEXw=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p9182_p_v8_aa.jpg,1985,"John Cusack,Diane Franklin,David Ogden Stiers",77,fresh,https://www.rottentomatoes.com/m/1002213-better_off_dead,True,Better Off Dead |,Better Off Dead
Wild Things,https://resizing.flixster.com/KY5SnXs-tlbj-DjjnBp5OAw35IM=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p20816_p_v8_ak.jpg,1998,"Kevin Bacon,Matt Dillon,Neve Campbell",64,fresh,https://www.rottentomatoes.com/m/wild_things,True,Wild Things | John McNaughton,Wild Things
The Royal Tenenbaums,https://resizing.flixster.com/TdrAwBR3Y3TZ1aRAhtopyXLW8Kk=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/26675/26675_aa.jpg,2001,"Gene Hackman,Anjelica Huston,Ben Stiller",81,certified-fresh,https://www.rottentomatoes.com/m/the_royal_tenenbaums,True,The Royal Tenenbaums |,The Royal Tenenbaums
Rushmore,https://resizing.flixster.com/t4QPqrBUn6pqlLSP6q33iVdDNbY=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p21677_p_v8_ae.jpg,1998,"Jason Schwartzman,Bill Murray,Olivia Williams",90,certified-fresh,https://www.rottentomatoes.com/m/rushmore,True,Rushmore |,Rushmore
Wild Life,https://resizing.flixster.com/q55pEv1HI4iMCuURXmHFJWe11lE=/fit-in/80x126/v2/https://resizing.flixster.com/9NO-XU0Pe1_qPuwZ-IdMCjE75-I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY0NmYyYzYxLTc3MDAtNDlmMC1hNmEzLTI5OTg3NWZhNTIyMy5qcGc=,2023," Kristine Tompkins,Rick Ridgeway,Jimmy Chin",88,fresh,https://www.rottentomatoes.com/m/wild_life_2023,True,"Wild Life | Chai Vasarhelyi, Jimmy Chin",Wild Life
Psycho,https://resizing.flixster.com/7k-1mgJSmjXqq8j6s0OXTpwdY4Y=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p283_p_v8_an.jpg,1960,"Anthony Perkins,Janet Leigh,Vera Miles",96,certified-fresh,https://www.rottentomatoes.com/m/psycho,True,Psycho |,Psycho
Fantastic Mr. Fox,https://resizing.flixster.com/Ojr7FVlecTsNo20AN_7iDJfvMFM=/fit-in/80x126/v2/https://flxt.tmsimg.com/NowShowing/79315/79315_aa.jpg,2009,"George Clooney,Meryl Streep,Jason Schwartzman",93,certified-fresh,https://www.rottentomatoes.com/m/1197696-fantastic_mr_fox,True,Fantastic Mr. Fox |,Fantastic Mr. Fox
1341 Frames of Love and War,https://resizing.flixster.com/o7_g7-uw3Klz7kSavXeXVaaexTo=/fit-in/80x126/v2/https://resizing.flixster.com/0s_EmNRO7NiVK9PmhO7HL1MXhu8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUxMjY2NWRiLTgxNTAtNDBiZS1iZDAyLTcwNDgzZjZmNmI4ZS5qcGc=,2022,,,,https://www.rottentomatoes.com/m/1341_frames_of_love_and_war,False,1341 Frames of Love and War | Ran Tal,1341 Frames of Love and War
Isle of Dogs,https://resizing.flixster.com/lcxjAbF3FuhDQIKe4CdID6pZwAE=/fit-in/80x126/v2/https://resizing.flixster.com/XuF2hKAjvAXR75I7Pg7ytwK4VD8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2E1ZjdlMzNkLTA0MTctNGNmNy1iMjljLThkZGU1NzA2NmUyYy53ZWJw,2018,"Bryan Cranston,Edward Norton,Scarlett Johansson",90,certified-fresh,https://www.rottentomatoes.com/m/isle_of_dogs_2018,True,Isle of Dogs |,Isle of Dogs
Life According to Sam,https://resizing.flixster.com/WtJNMbmTGXliVaRUNz0IybmCz9k=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p9719231_p_v8_ac.jpg,2013,,100,fresh,https://www.rottentomatoes.com/m/life_according_to_sam_2013,False,Where Life Begins (Tu Choisiras La Vie) | Stéphane Freiss,Where Life Begins (Tu Choisiras La Vie)
Mystery Train,https://resizing.flixster.com/cJwsyAs-_3QqCP7MTGMeZmcjzIg=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p11629_p_v8_ac.jpg,1989,"Masatoshi Nagase,Nicoletta Braschi,Joe Strummer",89,fresh,https://www.rottentomatoes.com/m/1028711-mystery_train,True,Mystery Train | Jim Jarmusch,Mystery Train
The Darjeeling Limited,https://resizing.flixster.com/cMld6r_yDuPDq3doA-FLtzgLnes=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p168522_p_v12_bf.jpg,2007,"Owen Wilson,Adrien Brody,Jason Schwartzman",69,fresh,https://www.rottentomatoes.com/m/darjeeling_limited,True,The Darjeeling Limited |,The Darjeeling Limited
Night on Earth,https://resizing.flixster.com/xh5DPtG5Jzgeudpqz9m1zClZNBQ=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p55159_p_v8_aa.jpg,1992,"Winona Ryder,Gena Rowlands,Giancarlo Esposito",76,fresh,https://www.rottentomatoes.com/m/night_on_earth,True,Night on Earth | Jim Jarmusch,Night on Earth
The Life Aquatic With Steve Zissou,https://resizing.flixster.com/5X4H9xzcLsFovYeokfFUGBDrD4I=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p35267_p_v8_aq.jpg,2004,"Bill Murray,Owen Wilson,Cate Blanchett",57,rotten,https://www.rottentomatoes.com/m/life_aquatic,True,The Life Aquatic with Steve Zissou |,The Life Aquatic with Steve Zissou
The Grand Budapest Hotel,https://resizing.flixster.com/pXb4CQmuSYI5PqlHlyMA2S3D6to=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p10295153_p_v8_at.jpg,2014,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",92,certified-fresh,https://www.rottentomatoes.com/m/the_grand_budapest_hotel,True,The Grand Budapest Hotel |,The Grand Budapest Hotel
Moonrise Kingdom,https://resizing.flixster.com/WjekPKMmTC6DQnC95VOubGHeML4=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p9005688_p_v8_am.jpg,2012,"Bruce Willis,Edward Norton,Bill Murray",93,certified-fresh,https://www.rottentomatoes.com/m/moonrise_kingdom,True,Moonrise Kingdom |,Moonrise Kingdom
Best of Enemies,https://resizing.flixster.com/OXO2qq0hzyaxAc-f-7U296SnvgE=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p11663654_p_v8_ab.jpg,2015,"Brooke Gladstone,Frank Rich,Matt Tyrnauer",93,certified-fresh,https://www.rottentomatoes.com/m/best_of_enemies_2015,True,Best of Enemies | Jeremy Herrin,Best of Enemies
The Night of the Hunter,https://resizing.flixster.com/V3pS7hK2wUEp581sj2kw4gixdLI=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p4360_p_v8_az.jpg,1955,"Robert Mitchum,Shelley Winters,Lillian Gish",93,certified-fresh,https://www.rottentomatoes.com/m/night_of_the_hunter,False,Night of the Hunter |,Night of the Hunter
