title,poster,year,cast,score,cert,rt_link,exact_match,query_str,listing_title
Roman Holiday,https://resizing.flixster.com/TfB6ZUZ1mFp7NTTC6fNU5Ndq69k=/fit-in/80x126/v2/https://resizing.flixster.com/fXpd4jqM2kv43Gr-NdSPpmbTE9A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzA2ZjcyZTZiLTlhM2EtNGY4Yy1hMWU5LTc1ODVjNTBlYmQzMi5qcGc=,1953,"Gregory Peck,Audrey Hepburn,Eddie Albert",95,certified-fresh,https://www.rottentomatoes.com/m/roman_holiday,True,Roman Holiday |,Roman Holiday
Party Girl,https://resizing.flixster.com/NosP-uyoaVIwLWqD3lyxoGxtlAg=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p16392_p_v8_ab.jpg,1995,"Parker Posey,Anthony DeSando,Guillermo Diaz",79,fresh,https://www.rottentomatoes.com/m/1066050-party_girl,True,Party Girl | Daisy von Scherler Mayer,Party Girl
The Best Years of Our Lives,https://resizing.flixster.com/Fmfmxl_pxQrA1pKB9rmHbiXwxkU=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p1312_p_v8_aa.jpg,1946,"Fredric March,Myrna Loy,Dana Andrews",97,certified-fresh,https://www.rottentomatoes.com/m/best_years_of_our_lives,False,Best Years of Our Lives |,Best Years of Our Lives
Crimes of Passion,https://resizing.flixster.com/4ywfQ8e9_E9PvDlHEUWW2BIs9Uw=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p8479_p_v8_ab.jpg,1984,"Kathleen Turner,Anthony Perkins,John Laughlin",48,rotten,https://www.rottentomatoes.com/m/crimes_of_passion,True,Crimes of Passion | Ken Russell,Crimes of Passion
The Big Lebowski,https://resizing.flixster.com/PG_BRoCWl3ioo13duSdMznDRb4I=/fit-in/80x126/v2/https://resizing.flixster.com/zjBrvj8q2AeZv6mCq9erG6Ry36w=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Q1MWZkMTczLTBjNWItNDcwOS04NDc3LTJmNjYyYjc0YTcxZi5qcGc=,1998,"Jeff Bridges,John Goodman,Julianne Moore",79,certified-fresh,https://www.rottentomatoes.com/m/the_big_lebowski,True,The Big Lebowski |,The Big Lebowski
The Long Goodbye,https://resizing.flixster.com/2IJBWFrIJI06pRx2WK5ukvwHGhQ=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p2217_p_v8_aa.jpg,1973,"Elliott Gould,Nina van Pallandt,Sterling Hayden",95,certified-fresh,https://www.rottentomatoes.com/m/1031440-long_goodbye,True,The Long Goodbye |,The Long Goodbye
The Elephant Man,https://resizing.flixster.com/tA6DdBw9Xypy1-zc8FOfdWTWQZ8=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p410_p_v8_ac.jpg,1980,"John Hurt,Anthony Hopkins,Anne Bancroft",92,certified-fresh,https://www.rottentomatoes.com/m/1006527-elephant_man,True,The Elephant Man |,The Elephant Man
Coffy,https://resizing.flixster.com/gMBMPtk0y87Sn80qZG7zxKFPvHE=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p18213_p_v8_ab.jpg,1973,"Pam Grier,Booker Bradshaw,Robert DoQui",78,fresh,https://www.rottentomatoes.com/m/coffy,True,Coffy |,Coffy
Eraserhead,https://resizing.flixster.com/23PdXv3FBiJUy9_IBv6DrjicDpI=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p42040_p_v8_aa.jpg,1977,"John Nance,Charlotte Stewart,Allen Joseph",91,certified-fresh,https://www.rottentomatoes.com/m/eraserhead,True,Eraserhead |,Eraserhead
Single White Female,https://resizing.flixster.com/SJBcZrhHrTOzYqHxtslNNatK9L4=/fit-in/80x126/v2/https://flxt.tmsimg.com/assets/p14158_p_v8_am.jpg,1992,"Bridget Fonda,Jennifer Jason Leigh,Steven Weber",53,rotten,https://www.rottentomatoes.com/m/single_white_female,True,Single White Female | Barbet Schroeder,Single White Female
